[2024-01-31 18:54:07,661][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-01-31 19:04:54,954][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-01-31 19:04:54,983][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-01-31 19:04:55,496][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-01-31 19:04:55,496][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-01-31 19:04:55,508][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-01-31 19:04:55,512][hydra.utils][INFO] - W&B is now watching <all>!
[2024-01-31 19:05:30,327][hydra.utils][INFO] - Instantiating the Trainer
[2024-01-31 19:06:58,268][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-01-31 19:06:58,502][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-01-31 19:06:58,557][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-01-31 19:06:58,557][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-01-31 19:06:58,562][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-01-31 19:06:58,565][hydra.utils][INFO] - W&B is now watching <all>!
[2024-01-31 19:07:01,536][hydra.utils][INFO] - Instantiating the Trainer
[2024-01-31 19:07:01,788][hydra.utils][INFO] - Starting training!
[2024-01-31 19:07:01,824][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2024-01-31 19:07:01,824][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 1 nodes.
[2024-01-31 19:08:13,888][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-01-31 19:08:13,909][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-01-31 19:08:13,963][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-01-31 19:08:13,964][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-01-31 19:08:13,968][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-01-31 19:08:13,972][hydra.utils][INFO] - W&B is now watching <all>!
[2024-01-31 19:08:52,210][hydra.utils][INFO] - Instantiating the Trainer
[2024-01-31 19:23:32,343][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-01-31 19:23:32,366][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-01-31 19:23:32,421][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-01-31 19:23:32,422][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-01-31 19:23:32,426][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-01-31 19:23:32,429][hydra.utils][INFO] - W&B is now watching <all>!
[2024-01-31 19:23:52,062][hydra.utils][INFO] - Instantiating the Trainer
[2024-01-31 19:23:52,314][hydra.utils][INFO] - Starting training!
[2024-01-31 19:23:52,317][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2024-01-31 19:23:52,317][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 1 nodes.
[2024-02-04 15:18:33,733][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-04 15:18:33,768][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-04 15:18:34,257][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-04 15:18:34,257][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-04 15:18:34,277][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-04 15:18:34,281][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-04 15:21:55,676][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-04 15:21:55,698][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-04 15:21:55,754][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-04 15:21:55,754][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-04 15:21:55,758][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-04 15:21:55,762][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-04 15:23:02,202][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-04 15:23:02,235][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-04 15:23:02,300][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-04 15:23:02,301][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-04 15:23:02,304][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-04 15:23:02,308][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-04 15:23:04,659][hydra.utils][INFO] - Instantiating the Trainer
[2024-02-04 15:23:04,983][hydra.utils][INFO] - Starting training!
[2024-02-04 15:25:33,115][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-04 15:25:33,137][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-04 15:25:33,194][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-04 15:25:33,195][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-04 15:25:33,199][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-04 15:25:33,202][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-04 15:27:19,581][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-04 15:27:19,601][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-04 15:27:19,658][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-04 15:27:19,659][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-04 15:27:19,663][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-04 15:27:19,666][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-04 15:30:13,035][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-04 15:30:13,057][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-04 15:30:13,114][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-04 15:30:13,115][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-04 15:30:13,118][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-04 15:30:13,124][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-04 15:31:24,722][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-04 15:31:24,747][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-04 15:31:25,255][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-04 15:31:25,256][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-04 15:31:25,264][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-04 15:31:25,268][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-04 15:31:30,923][hydra.utils][INFO] - Instantiating the Trainer
[2024-02-04 15:31:31,256][hydra.utils][INFO] - Starting training!
[2024-02-04 15:36:53,091][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-04 15:36:53,113][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-04 15:36:53,169][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-04 15:36:53,169][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-04 15:36:53,174][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-04 15:36:53,177][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-04 15:37:38,646][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-04 15:37:38,666][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-04 15:37:38,722][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-04 15:37:38,722][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-04 15:37:38,727][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-04 15:37:38,731][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-04 15:40:29,756][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-04 15:40:29,973][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-04 15:40:30,029][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-04 15:40:30,029][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-04 15:40:30,370][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-04 15:40:30,374][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-04 15:43:40,744][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-04 15:43:40,765][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-04 15:43:40,823][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-04 15:43:40,823][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-04 15:43:40,827][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-04 15:43:40,831][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-04 15:46:35,608][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-04 15:46:35,628][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-04 15:46:35,685][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-04 15:46:35,685][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-04 15:46:35,689][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-04 15:46:35,692][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-04 15:47:45,007][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-04 15:47:45,029][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-04 15:47:45,087][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-04 15:47:45,087][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-04 15:47:45,091][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-04 15:47:45,095][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-04 15:53:13,409][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-04 15:53:13,429][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-04 15:53:13,486][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-04 15:53:13,486][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-04 15:53:13,490][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-04 15:53:13,493][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-04 15:53:18,957][hydra.utils][INFO] - Instantiating the Trainer
[2024-02-04 15:55:51,443][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-04 15:55:51,471][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-04 15:55:52,108][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-04 15:55:52,109][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-04 15:55:52,118][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-04 15:55:52,122][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-04 15:55:56,822][hydra.utils][INFO] - Instantiating the Trainer
[2024-02-04 15:55:57,176][hydra.utils][INFO] - Starting training!
[2024-02-04 15:58:38,809][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-04 15:58:38,838][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-04 15:58:39,370][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-04 15:58:39,370][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-04 15:58:39,380][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-04 15:58:39,384][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-04 15:58:45,128][hydra.utils][INFO] - Instantiating the Trainer
[2024-02-04 15:58:45,546][hydra.utils][INFO] - Starting training!
[2024-02-04 16:11:28,813][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-04 16:11:28,836][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-04 16:11:28,892][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-04 16:11:28,892][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-04 16:11:28,896][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-04 16:11:28,900][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-04 16:11:31,413][hydra.utils][INFO] - Instantiating the Trainer
[2024-02-04 16:11:31,743][hydra.utils][INFO] - Starting training!
[2024-02-04 16:24:30,807][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-04 16:24:30,829][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-04 16:24:30,886][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-04 16:24:30,887][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-04 16:24:30,890][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-04 16:24:30,894][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-04 16:24:33,412][hydra.utils][INFO] - Instantiating the Trainer
[2024-02-04 16:24:33,744][hydra.utils][INFO] - Starting training!
[2024-02-07 12:51:27,020][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-07 12:51:27,055][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-07 12:51:27,583][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-07 12:51:27,583][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-07 12:51:27,593][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-07 12:51:27,597][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-07 12:52:06,174][hydra.utils][INFO] - Instantiating the Trainer
[2024-02-07 12:52:06,530][hydra.utils][INFO] - Starting training!
[2024-02-07 13:22:37,150][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-07 13:22:37,175][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-07 13:22:37,632][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-07 13:22:37,632][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-07 13:22:37,643][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-07 13:22:37,646][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-07 13:22:43,480][hydra.utils][INFO] - Instantiating the Trainer
[2024-02-07 13:22:43,862][hydra.utils][INFO] - Starting training!
[2024-02-07 13:53:25,459][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-07 13:53:25,481][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-07 13:53:25,539][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-07 13:53:25,539][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-07 13:53:25,543][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-07 13:53:25,546][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-07 13:53:27,656][hydra.utils][INFO] - Instantiating the Trainer
[2024-02-07 13:53:27,928][hydra.utils][INFO] - Starting training!
[2024-02-07 13:56:10,433][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-07 13:58:06,553][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-07 13:58:06,574][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-07 13:58:06,628][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-07 13:58:06,628][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-07 13:58:06,632][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-07 13:58:06,635][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-07 13:58:08,693][hydra.utils][INFO] - Instantiating the Trainer
[2024-02-07 13:58:08,963][hydra.utils][INFO] - Starting training!
[2024-02-07 14:02:37,982][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-07 14:02:38,002][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-07 14:02:38,056][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-07 14:02:38,056][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-07 14:02:38,060][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-07 14:02:38,063][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-07 14:02:40,143][hydra.utils][INFO] - Instantiating the Trainer
[2024-02-07 14:02:40,408][hydra.utils][INFO] - Starting training!
[2024-02-07 18:08:49,472][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-07 18:08:49,506][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
[2024-02-07 18:08:50,106][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-02-07 18:08:50,106][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-02-07 18:08:50,132][hydra.utils][INFO] - Instantiating <WandbLogger>
[2024-02-07 18:08:50,135][hydra.utils][INFO] - W&B is now watching <all>!
[2024-02-07 18:09:11,124][hydra.utils][INFO] - Instantiating the Trainer
[2024-02-07 18:09:11,645][hydra.utils][INFO] - Starting training!
[2024-02-07 18:10:20,590][hydra.utils][INFO] - Instantiating <graphwm.data.datamodule.PLDataModule>
[2024-02-07 18:10:20,612][hydra.utils][INFO] - Instantiating model : <graphwm.model.PnR>
